,Product Name,Region Name,Month Name,Revenue
0,Product 1,Region 1,Jan 2022,17203
1,Product 1,Region 1,Feb 2022,16137
2,Product 1,Region 1,Mar 2022,17898
3,Product 1,Region 1,Apr 2022,18375
4,Product 1,Region 1,May 2022,1174
5,Product 1,Region 1,Jun 2022,4085
6,Product 1,Region 1,Jul 2022,12336
7,Product 1,Region 1,Aug 2022,22601
8,Product 1,Region 1,Sep 2022,14083
9,Product 1,Region 1,Oct 2022,21488
10,Product 1,Region 1,Nov 2022,23728
11,Product 1,Region 1,Dec 2022,20557
12,Product 1,Region 2,Jan 2022,21308
13,Product 1,Region 2,Feb 2022,1344
14,Product 1,Region 2,Mar 2022,4189
15,Product 1,Region 2,Apr 2022,1650
16,Product 1,Region 2,May 2022,5604
17,Product 1,Region 2,Jun 2022,20472
18,Product 1,Region 2,Jul 2022,1222
19,Product 1,Region 2,Aug 2022,21582
20,Product 1,Region 2,Sep 2022,16914
21,Product 1,Region 2,Oct 2022,19242
22,Product 1,Region 2,Nov 2022,14796
23,Product 1,Region 2,Dec 2022,3879
24,Product 1,Region 3,Jan 2022,16940
25,Product 1,Region 3,Feb 2022,11056
26,Product 1,Region 3,Mar 2022,20482
27,Product 1,Region 3,Apr 2022,16479
28,Product 1,Region 3,May 2022,15369
29,Product 1,Region 3,Jun 2022,12048
30,Product 1,Region 3,Jul 2022,16114
31,Product 1,Region 3,Aug 2022,3297
32,Product 1,Region 3,Sep 2022,9173
33,Product 1,Region 3,Oct 2022,22339
34,Product 1,Region 3,Nov 2022,10412
35,Product 1,Region 3,Dec 2022,1029
36,Product 1,Region 4,Jan 2022,13157
37,Product 1,Region 4,Feb 2022,6557
38,Product 1,Region 4,Mar 2022,2082
39,Product 1,Region 4,Apr 2022,5982
40,Product 1,Region 4,May 2022,14966
41,Product 1,Region 4,Jun 2022,4783
42,Product 1,Region 4,Jul 2022,23606
43,Product 1,Region 4,Aug 2022,21477
44,Product 1,Region 4,Sep 2022,11603
45,Product 1,Region 4,Oct 2022,18701
46,Product 1,Region 4,Nov 2022,7904
47,Product 1,Region 4,Dec 2022,1093
48,Product 2,Region 1,Jan 2022,14181
49,Product 2,Region 1,Feb 2022,17409
50,Product 2,Region 1,Mar 2022,8921
51,Product 2,Region 1,Apr 2022,5469
52,Product 2,Region 1,May 2022,18446
53,Product 2,Region 1,Jun 2022,7297
54,Product 2,Region 1,Jul 2022,19430
55,Product 2,Region 1,Aug 2022,10000
56,Product 2,Region 1,Sep 2022,10823
57,Product 2,Region 1,Oct 2022,5235
58,Product 2,Region 1,Nov 2022,6585
59,Product 2,Region 1,Dec 2022,8377
60,Product 2,Region 2,Jan 2022,8875
61,Product 2,Region 2,Feb 2022,19048
62,Product 2,Region 2,Mar 2022,10329
63,Product 2,Region 2,Apr 2022,6251
64,Product 2,Region 2,May 2022,10540
65,Product 2,Region 2,Jun 2022,24891
66,Product 2,Region 2,Jul 2022,23010
67,Product 2,Region 2,Aug 2022,23365
68,Product 2,Region 2,Sep 2022,4492
69,Product 2,Region 2,Oct 2022,17098
70,Product 2,Region 2,Nov 2022,7600
71,Product 2,Region 2,Dec 2022,23049
72,Product 2,Region 3,Jan 2022,4095
73,Product 2,Region 3,Feb 2022,17195
74,Product 2,Region 3,Mar 2022,2085
75,Product 2,Region 3,Apr 2022,2804
76,Product 2,Region 3,May 2022,20854
77,Product 2,Region 3,Jun 2022,3533
78,Product 2,Region 3,Jul 2022,9684
79,Product 2,Region 3,Aug 2022,18070
80,Product 2,Region 3,Sep 2022,9841
81,Product 2,Region 3,Oct 2022,5252
82,Product 2,Region 3,Nov 2022,8505
83,Product 2,Region 3,Dec 2022,22702
84,Product 2,Region 4,Jan 2022,9246
85,Product 2,Region 4,Feb 2022,9712
86,Product 2,Region 4,Mar 2022,14302
87,Product 2,Region 4,Apr 2022,4251
88,Product 2,Region 4,May 2022,2937
89,Product 2,Region 4,Jun 2022,20410
90,Product 2,Region 4,Jul 2022,11731
91,Product 2,Region 4,Aug 2022,10185
92,Product 2,Region 4,Sep 2022,3329
93,Product 2,Region 4,Oct 2022,4145
94,Product 2,Region 4,Nov 2022,1625
95,Product 2,Region 4,Dec 2022,21450
96,Product 3,Region 1,Jan 2022,14693
97,Product 3,Region 1,Feb 2022,14742
98,Product 3,Region 1,Mar 2022,19979
99,Product 3,Region 1,Apr 2022,1356
100,Product 3,Region 1,May 2022,3075
101,Product 3,Region 1,Jun 2022,6724
102,Product 3,Region 1,Jul 2022,22064
103,Product 3,Region 1,Aug 2022,4917
104,Product 3,Region 1,Sep 2022,14717
105,Product 3,Region 1,Oct 2022,7247
106,Product 3,Region 1,Nov 2022,9735
107,Product 3,Region 1,Dec 2022,6916
108,Product 3,Region 2,Jan 2022,4601
109,Product 3,Region 2,Feb 2022,2225
110,Product 3,Region 2,Mar 2022,17257
111,Product 3,Region 2,Apr 2022,14552
112,Product 3,Region 2,May 2022,4158
113,Product 3,Region 2,Jun 2022,3095
114,Product 3,Region 2,Jul 2022,9359
115,Product 3,Region 2,Aug 2022,23196
116,Product 3,Region 2,Sep 2022,4958
117,Product 3,Region 2,Oct 2022,23790
118,Product 3,Region 2,Nov 2022,22332
119,Product 3,Region 2,Dec 2022,12834
120,Product 3,Region 3,Jan 2022,14476
121,Product 3,Region 3,Feb 2022,1215
122,Product 3,Region 3,Mar 2022,14896
123,Product 3,Region 3,Apr 2022,18822
124,Product 3,Region 3,May 2022,22721
125,Product 3,Region 3,Jun 2022,14316
126,Product 3,Region 3,Jul 2022,3906
127,Product 3,Region 3,Aug 2022,21978
128,Product 3,Region 3,Sep 2022,11248
129,Product 3,Region 3,Oct 2022,19479
130,Product 3,Region 3,Nov 2022,18569
131,Product 3,Region 3,Dec 2022,19118
132,Product 3,Region 4,Jan 2022,16677
133,Product 3,Region 4,Feb 2022,18698
134,Product 3,Region 4,Mar 2022,4019
135,Product 3,Region 4,Apr 2022,2949
136,Product 3,Region 4,May 2022,21535
137,Product 3,Region 4,Jun 2022,5015
138,Product 3,Region 4,Jul 2022,21534
139,Product 3,Region 4,Aug 2022,20497
140,Product 3,Region 4,Sep 2022,11681
141,Product 3,Region 4,Oct 2022,4606
142,Product 3,Region 4,Nov 2022,4095
143,Product 3,Region 4,Dec 2022,4662
144,Product 4,Region 1,Jan 2022,9427
145,Product 4,Region 1,Feb 2022,19998
146,Product 4,Region 1,Mar 2022,24801
147,Product 4,Region 1,Apr 2022,19672
148,Product 4,Region 1,May 2022,15803
149,Product 4,Region 1,Jun 2022,7328
150,Product 4,Region 1,Jul 2022,7249
151,Product 4,Region 1,Aug 2022,3144
152,Product 4,Region 1,Sep 2022,21266
153,Product 4,Region 1,Oct 2022,11109
154,Product 4,Region 1,Nov 2022,7658
155,Product 4,Region 1,Dec 2022,12269
156,Product 4,Region 2,Jan 2022,16791
157,Product 4,Region 2,Feb 2022,10603
158,Product 4,Region 2,Mar 2022,10134
159,Product 4,Region 2,Apr 2022,2636
160,Product 4,Region 2,May 2022,14935
161,Product 4,Region 2,Jun 2022,20340
162,Product 4,Region 2,Jul 2022,7802
163,Product 4,Region 2,Aug 2022,3584
164,Product 4,Region 2,Sep 2022,10169
165,Product 4,Region 2,Oct 2022,5099
166,Product 4,Region 2,Nov 2022,11637
167,Product 4,Region 2,Dec 2022,1634
168,Product 4,Region 3,Jan 2022,18649
169,Product 4,Region 3,Feb 2022,16717
170,Product 4,Region 3,Mar 2022,12678
171,Product 4,Region 3,Apr 2022,10957
172,Product 4,Region 3,May 2022,16484
173,Product 4,Region 3,Jun 2022,22515
174,Product 4,Region 3,Jul 2022,1614
175,Product 4,Region 3,Aug 2022,1972
176,Product 4,Region 3,Sep 2022,14314
177,Product 4,Region 3,Oct 2022,11932
178,Product 4,Region 3,Nov 2022,21240
179,Product 4,Region 3,Dec 2022,7896
180,Product 4,Region 4,Jan 2022,22783
181,Product 4,Region 4,Feb 2022,14497
182,Product 4,Region 4,Mar 2022,2381
183,Product 4,Region 4,Apr 2022,20810
184,Product 4,Region 4,May 2022,14005
185,Product 4,Region 4,Jun 2022,8504
186,Product 4,Region 4,Jul 2022,21451
187,Product 4,Region 4,Aug 2022,7917
188,Product 4,Region 4,Sep 2022,17013
189,Product 4,Region 4,Oct 2022,11118
190,Product 4,Region 4,Nov 2022,9859
191,Product 4,Region 4,Dec 2022,5175
192,Product 5,Region 1,Jan 2022,15540
193,Product 5,Region 1,Feb 2022,16956
194,Product 5,Region 1,Mar 2022,9554
195,Product 5,Region 1,Apr 2022,19113
196,Product 5,Region 1,May 2022,9784
197,Product 5,Region 1,Jun 2022,21017
198,Product 5,Region 1,Jul 2022,6444
199,Product 5,Region 1,Aug 2022,8014
200,Product 5,Region 1,Sep 2022,11680
201,Product 5,Region 1,Oct 2022,20787
202,Product 5,Region 1,Nov 2022,10915
203,Product 5,Region 1,Dec 2022,15966
204,Product 5,Region 2,Jan 2022,9789
205,Product 5,Region 2,Feb 2022,4528
206,Product 5,Region 2,Mar 2022,17023
207,Product 5,Region 2,Apr 2022,18164
208,Product 5,Region 2,May 2022,1040
209,Product 5,Region 2,Jun 2022,4164
210,Product 5,Region 2,Jul 2022,24098
211,Product 5,Region 2,Aug 2022,17582
212,Product 5,Region 2,Sep 2022,11911
213,Product 5,Region 2,Oct 2022,23071
214,Product 5,Region 2,Nov 2022,17967
215,Product 5,Region 2,Dec 2022,17280
216,Product 5,Region 3,Jan 2022,4874
217,Product 5,Region 3,Feb 2022,14704
218,Product 5,Region 3,Mar 2022,16197
219,Product 5,Region 3,Apr 2022,3679
220,Product 5,Region 3,May 2022,10327
221,Product 5,Region 3,Jun 2022,7725
222,Product 5,Region 3,Jul 2022,13998
223,Product 5,Region 3,Aug 2022,18603
224,Product 5,Region 3,Sep 2022,21234
225,Product 5,Region 3,Oct 2022,10876
226,Product 5,Region 3,Nov 2022,19339
227,Product 5,Region 3,Dec 2022,12375
228,Product 5,Region 4,Jan 2022,20635
229,Product 5,Region 4,Feb 2022,15321
230,Product 5,Region 4,Mar 2022,24844
231,Product 5,Region 4,Apr 2022,13855
232,Product 5,Region 4,May 2022,12076
233,Product 5,Region 4,Jun 2022,1331
234,Product 5,Region 4,Jul 2022,13419
235,Product 5,Region 4,Aug 2022,15539
236,Product 5,Region 4,Sep 2022,23988
237,Product 5,Region 4,Oct 2022,17147
238,Product 5,Region 4,Nov 2022,14142
239,Product 5,Region 4,Dec 2022,18982
240,Product 6,Region 1,Jan 2022,20063
241,Product 6,Region 1,Feb 2022,11315
242,Product 6,Region 1,Mar 2022,15089
243,Product 6,Region 1,Apr 2022,10516
244,Product 6,Region 1,May 2022,13956
245,Product 6,Region 1,Jun 2022,3175
246,Product 6,Region 1,Jul 2022,13767
247,Product 6,Region 1,Aug 2022,10505
248,Product 6,Region 1,Sep 2022,12001
249,Product 6,Region 1,Oct 2022,16288
250,Product 6,Region 1,Nov 2022,18130
251,Product 6,Region 1,Dec 2022,7118
252,Product 6,Region 2,Jan 2022,24121
253,Product 6,Region 2,Feb 2022,15323
254,Product 6,Region 2,Mar 2022,11233
255,Product 6,Region 2,Apr 2022,1419
256,Product 6,Region 2,May 2022,23978
257,Product 6,Region 2,Jun 2022,6433
258,Product 6,Region 2,Jul 2022,5087
259,Product 6,Region 2,Aug 2022,8281
260,Product 6,Region 2,Sep 2022,23605
261,Product 6,Region 2,Oct 2022,17739
262,Product 6,Region 2,Nov 2022,23284
